Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::_Hashtable_iterator<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::operator==(__gnu_cxx::_Hashtable_iterator<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> > const&) const
  0.00      0.01     0.00    13824     0.00     0.00  __gnu_cxx::hashtable<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >::_M_bkt_num(std::pair<std::string const, int> const&) const
  0.00      0.01     0.00    13824     0.00     0.00  std::pair<std::string const, int>::pair(std::pair<std::string const, int> const&)
  0.00      0.01     0.00    13824     0.00     0.00  std::pair<std::string const, int>::pair<char*, int>(std::pair<char*, int> const&)
  0.00      0.01     0.00    13824     0.00     0.00  std::pair<__gnu_cxx::_Hashtable_iterator<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> >, bool>::pair(__gnu_cxx::_Hashtable_iterator<std::pair<std::string const, int>, std::string, __gnu_cxx::hash<std::string>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::allocator<int> > const&, bool const&)
  0.00      0.01     0.00    13824     0.00     0.00  std::pair<char*, int>::pair(char* const&, int const&)
  0.00      0.01     0.00    13824     0.00     0.00  std::strchr(char*, int)
  0.00      0.01     0.00    13824     0.00     0.00  std::strstr(char*, char const*)
  0.00      0.01     0.00    13824     0.00     0.00  std::pair<char*, int> std::make_pair<char*, int>(char*, int)
  0.00      0.01     0.00    13824     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00      640     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >::operator++()
  0.00      0.01     0.00      576     0.00     0.00  myheap::printhistory()
  0.00      0.01     0.00      576     0.00     0.00  myheap::save()
  0.00      0.01     0.00       92     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > >::__normal_iterator(datapoint* const* const&)
  0.00      0.01     0.00       92     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > >::base() const
  0.00      0.01     0.00       63     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >::base() const
  0.00      0.01     0.00       48     0.00     0.00  std::iterator_traits<unsigned long const*>::iterator_category std::__iterator_category<unsigned long const*>(unsigned long const* const&)
  0.00      0.01     0.00       46     0.00     0.00  std::vector<datapoint*, std::allocator<datapoint*> >::end() const
  0.00      0.01     0.00       46     0.00     0.00  std::vector<datapoint*, std::allocator<datapoint*> >::begin() const
  0.00      0.01     0.00       40     0.00     0.00  void std::advance<unsigned long const*, long>(unsigned long const*&, long)
  0.00      0.01     0.00       40     0.00     0.00  void std::__advance<unsigned long const*, long>(unsigned long const*&, long, std::random_access_iterator_tag)
  0.00      0.01     0.00       37     0.00     0.00  __gnu_cxx::new_allocator<datapoint*>::~new_allocator()
  0.00      0.01     0.00       35     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::~new_allocator()
  0.00      0.01     0.00       34     0.00     0.00  __gnu_cxx::new_allocator<datapoint*>::new_allocator(__gnu_cxx::new_allocator<datapoint*> const&)
  0.00      0.01     0.00       34     0.00     0.00  __gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::new_allocator(__gnu_cxx::new_allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> const&)
  0.00      0.01     0.00       34     0.00     0.00  std::allocator<datapoint*>::~allocator()
  0.00      0.01     0.00       31     0.00     0.00  std::allocator<datapoint*>::allocator(std::allocator<datapoint*> const&)
  0.00      0.01     0.00       31     0.00     0.00  std::_Vector_base<datapoint*, std::allocator<datapoint*> >::_M_get_Tp_allocator()
  0.00      0.01     0.00       27     0.00     0.00  std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::~allocator()
  0.00      0.01     0.00       26     0.00     0.00  std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*>::allocator(std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> const&)
  0.00      0.01     0.00       25     0.00     0.00  myheap::clear()
  0.00      0.01     0.00       25     0.00     0.00  bool __gnu_cxx::operator==<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > >(__gnu_cxx::__normal_iterator<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > > const&, __gnu_cxx::__normal_iterator<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > > const&)
